Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,No,No,Sensitive learning,121,88,186,44,0.578947,0.733333,0.704026,0.391405
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,No,No,Sensitive learning,0,0,321,118,NaN,0.000000,0.701793,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,No,No,Sensitive learning,20,4,317,98,0.833333,0.169492,0.660661,0.209902
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,No,No,Sensitive learning,4,3,318,114,0.571429,0.033898,0.501188,0.034947
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,No,No,Sensitive learning,110,134,315,30,0.450820,0.785714,0.812965,0.388075
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,No,No,Sensitive learning,47,5,444,93,0.903846,0.335714,0.795625,0.414156
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,No,No,Sensitive learning,76,49,400,64,0.608000,0.542857,0.717372,0.450328
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,No,No,Sensitive learning,91,142,350,33,0.390558,0.733871,0.812090,0.335093
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,No,No,Sensitive learning,39,23,469,85,0.629032,0.314516,0.801911,0.329355
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,No,No,Sensitive learning,73,288,204,51,0.202216,0.588710,0.537200,0.001950
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,No,No,Sensitive learning,100,197,345,12,0.336700,0.892857,0.837523,0.319828
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,No,No,Sensitive learning,25,18,524,87,0.581395,0.223214,0.828578,0.251455
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,No,No,Sensitive learning,23,15,527,89,0.605263,0.205357,0.609202,0.240791
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,No,No,Sensitive learning,45,226,394,10,0.166052,0.818182,0.784677,0.162637
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,No,No,Sensitive learning,27,31,589,28,0.465517,0.490909,0.856950,0.430217
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,No,No,Sensitive learning,27,389,231,28,0.064904,0.490909,0.431745,-0.034207
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Oversampling,No,No,125,101,173,40,0.553097,0.757576,0.733621,0.362320
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Oversampling,No,No,85,64,210,80,0.570470,0.515152,0.710396,0.287113
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Oversampling,No,No,114,116,158,51,0.495652,0.690909,0.608261,0.248110
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Oversampling,No,No,0,0,321,118,NaN,0.000000,0.649493,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Oversampling,No,No,7,1,320,111,0.875000,0.059322,0.714821,0.079699
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Oversampling,No,No,7,12,309,111,0.368421,0.059322,0.508501,0.029860
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Oversampling,No,No,82,58,391,58,0.585714,0.585714,0.821413,0.456538
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Oversampling,No,No,71,86,363,69,0.452229,0.507143,0.734998,0.302948
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Oversampling,No,No,60,164,285,80,0.267857,0.428571,0.494758,0.052480
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Oversampling,No,No,86,98,394,38,0.467391,0.693548,0.836292,0.418610
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Oversampling,No,No,37,17,475,87,0.685185,0.298387,0.814483,0.334441
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Oversampling,No,No,65,117,375,59,0.357143,0.524194,0.725847,0.243750
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Oversampling,No,No,91,145,397,21,0.385593,0.812500,0.854557,0.378669
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Oversampling,No,No,35,25,517,77,0.583333,0.312500,0.819831,0.326508
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Oversampling,No,No,17,51,491,95,0.250000,0.151786,0.572376,0.068340
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Oversampling,No,No,46,203,417,9,0.184739,0.836364,0.809589,0.195208
