Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/main/org/apache/jute/BinaryOutputArchive.java,149,2,1,150,149,75.00,149,149,74.50,23,No
3.0.0,src/java/main/org/apache/jute/CsvInputArchive.java,210,2,1,211,210,105.50,210,210,105.00,23,No
3.0.0,src/java/main/org/apache/jute/CsvOutputArchive.java,151,3,2,152,148,50.67,151,148,50.33,23,No
3.0.0,src/java/main/org/apache/jute/Index.java,39,2,1,40,39,20.00,39,39,19.50,23,No
3.0.0,src/java/main/org/apache/jute/InputArchive.java,45,2,1,46,45,23.00,45,45,22.50,23,No
3.0.0,src/java/main/org/apache/jute/OutputArchive.java,48,2,1,49,48,24.50,48,48,24.00,23,No
3.0.0,src/java/main/org/apache/jute/Record.java,33,2,1,34,33,17.00,33,33,16.50,23,No
3.0.0,src/java/main/org/apache/jute/RecordReader.java,98,2,1,99,98,49.50,98,98,49.00,23,No
3.0.0,src/java/main/org/apache/jute/RecordWriter.java,117,2,1,118,117,59.00,117,117,58.50,23,No
3.0.0,src/java/main/org/apache/jute/Utils.java,278,3,2,281,276,93.67,278,276,92.67,23,No
3.0.0,src/java/main/org/apache/jute/XmlInputArchive.java,251,2,1,252,251,126.00,251,251,125.50,23,No
3.0.0,src/java/main/org/apache/jute/XmlOutputArchive.java,252,2,1,253,252,126.50,252,252,126.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/CGenerator.java,88,3,1,92,84,30.67,88,84,29.33,23,No
3.0.0,src/java/main/org/apache/jute/compiler/CppGenerator.java,83,3,1,87,79,29.00,83,79,27.67,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JBoolean.java,43,2,1,44,43,22.00,43,43,21.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JBuffer.java,107,2,1,114,107,57.00,107,107,53.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JByte.java,35,2,1,36,35,18.00,35,35,17.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JCompType.java,55,2,1,56,55,28.00,55,55,27.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JDouble.java,41,2,1,42,41,21.00,41,41,20.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JField.java,99,2,1,100,99,50.00,99,99,49.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JFile.java,75,3,1,80,73,26.67,75,73,25.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JFloat.java,40,2,1,41,40,20.50,40,40,20.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JInt.java,35,2,1,36,35,18.00,35,35,17.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JLong.java,39,2,1,40,39,20.00,39,39,19.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JMap.java,101,2,1,103,101,51.50,101,101,50.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JRecord.java,508,3,1,512,508,170.67,508,508,169.33,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JString.java,47,2,1,48,47,24.00,47,47,23.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JType.java,142,2,1,143,142,71.50,142,142,71.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JVector.java,106,2,1,107,106,53.50,106,106,53.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/JavaGenerator.java,62,3,1,65,59,21.67,62,59,20.67,23,No
